INFO 2024-11-19 11:02:14,090 autoreload Watching for file changes with StatReloader
DEBUG 2024-11-19 11:02:14,090 autoreload Waiting for apps ready_event.
DEBUG 2024-11-19 11:02:14,105 autoreload Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2024-11-19 11:02:14,428 autoreload Watching dir E:\BackendResearch\.venv\Lib\site-packages\rest_framework\templates with glob **/*.
DEBUG 2024-11-19 11:02:14,428 autoreload Watching dir E:\BackendResearch\Backend\locale with glob **/*.mo.
DEBUG 2024-11-19 11:02:14,428 autoreload Watching dir E:\BackendResearch\Backend\Research\locale with glob **/*.mo.
DEBUG 2024-11-19 11:02:14,428 autoreload Watching dir E:\BackendResearch\.venv\Lib\site-packages\rest_framework\locale with glob **/*.mo.
DEBUG 2024-11-19 11:02:14,562 utils (0.015) 
            SELECT name, type FROM sqlite_master
            WHERE type in ('table', 'view') AND NOT name='sqlite_sequence'
            ORDER BY name; args=None; alias=default
DEBUG 2024-11-19 11:02:14,567 utils (0.000) SELECT "django_migrations"."id", "django_migrations"."app", "django_migrations"."name", "django_migrations"."applied" FROM "django_migrations"; args=(); alias=default
DEBUG 2024-11-19 11:02:14,734 autoreload File E:\BackendResearch\.venv\Lib\site-packages\django\contrib\auth\__init__.py first seen with mtime 1731656698.1331136
DEBUG 2024-11-19 11:02:14,734 autoreload File E:\BackendResearch\.venv\Lib\site-packages\rest_framework\status.py first seen with mtime 1731656746.0047488
DEBUG 2024-11-19 11:02:14,734 autoreload File E:\BackendResearch\.venv\Lib\site-packages\django\contrib\postgres\fields\ranges.py first seen with mtime 1731656704.3502743
DEBUG 2024-11-19 11:02:14,734 autoreload File E:\BackendResearch\.venv\Lib\site-packages\django\db\models\fields\mixins.py first seen with mtime 1731656709.3001246
DEBUG 2024-11-19 11:02:14,735 autoreload File E:\BackendResearch\.venv\Lib\site-packages\django\views\generic\list.py first seen with mtime 1731656709.8513975
DEBUG 2024-11-19 11:02:14,735 autoreload File C:\Program Files\Python312\Lib\textwrap.py first seen with mtime 1722957452.0
DEBUG 2024-11-19 11:02:14,735 autoreload File E:\BackendResearch\.venv\Lib\site-packages\django\contrib\auth\views.py first seen with mtime 1731656698.2007425
DEBUG 2024-11-19 11:02:14,735 autoreload File E:\BackendResearch\.venv\Lib\site-packages\django\db\models\indexes.py first seen with mtime 1731656709.250439
DEBUG 2024-11-19 11:02:14,735 autoreload File C:\Program Files\Python312\Lib\token.py first seen with mtime 1722957452.0
DEBUG 2024-11-19 11:02:14,735 autoreload File E:\BackendResearch\.venv\Lib\site-packages\django\forms\models.py first seen with mtime 1731656709.3851628
DEBUG 2024-11-19 11:02:14,735 autoreload File C:\Program Files\Python312\Lib\threading.py first seen with mtime 1722957452.0
DEBUG 2024-11-19 11:02:14,736 autoreload File E:\BackendResearch\.venv\Lib\site-packages\asgiref\local.py first seen with mtime 1731656688.2751758
DEBUG 2024-11-19 11:02:14,736 autoreload File E:\BackendResearch\.venv\Lib\site-packages\django\contrib\messages\utils.py first seen with mtime 1731656704.2289703
DEBUG 2024-11-19 11:02:14,736 autoreload File C:\Program Files\Python312\Lib\email\feedparser.py first seen with mtime 1722957450.0
DEBUG 2024-11-19 11:02:14,736 autoreload File E:\BackendResearch\.venv\Lib\site-packages\django\templatetags\i18n.py first seen with mtime 1731656709.6664221
DEBUG 2024-11-19 11:02:14,736 autoreload File C:\Program Files\Python312\Lib\asyncio\sslproto.py first seen with mtime 1722957450.0
DEBUG 2024-11-19 11:02:14,736 autoreload File E:\BackendResearch\.venv\Lib\site-packages\django\utils\connection.py first seen with mtime 1731656709.7171543
DEBUG 2024-11-19 11:02:14,736 autoreload File E:\BackendResearch\.venv\Lib\site-packages\django\views\generic\detail.py first seen with mtime 1731656709.8513975
DEBUG 2024-11-19 11:02:14,737 autoreload File C:\Program Files\Python312\Lib\socket.py first seen with mtime 1722957452.0
DEBUG 2024-11-19 11:02:14,737 autoreload File E:\BackendResearch\.venv\Lib\site-packages\sqlparse\filters\others.py first seen with mtime 1731656686.0716648
DEBUG 2024-11-19 11:02:14,737 autoreload File C:\Program Files\Python312\Lib\urllib\request.py first seen with mtime 1722957452.0
DEBUG 2024-11-19 11:02:14,737 autoreload File C:\Program Files\Python312\Lib\html\__init__.py first seen with mtime 1722957450.0
DEBUG 2024-11-19 11:02:14,737 autoreload File C:\Program Files\Python312\Lib\_weakrefset.py first seen with mtime 1722957450.0
DEBUG 2024-11-19 11:02:14,737 autoreload File E:\BackendResearch\.venv\Lib\site-packages\django\template\response.py first seen with mtime 1731656709.6342967
DEBUG 2024-11-19 11:02:14,738 autoreload File E:\BackendResearch\.venv\Lib\site-packages\django\views\i18n.py first seen with mtime 1731656709.8175478
DEBUG 2024-11-19 11:02:14,738 autoreload File E:\BackendResearch\.venv\Lib\site-packages\django\utils\dates.py first seen with mtime 1731656709.735611
DEBUG 2024-11-19 11:02:14,738 autoreload File E:\BackendResearch\.venv\Lib\site-packages\django\core\handlers\wsgi.py first seen with mtime 1731656708.7597163
DEBUG 2024-11-19 11:02:14,738 autoreload File C:\Program Files\Python312\Lib\html\entities.py first seen with mtime 1722957450.0
DEBUG 2024-11-19 11:02:14,738 autoreload File E:\BackendResearch\.venv\Lib\site-packages\psycopg2\_json.py first seen with mtime 1731660458.5361423
DEBUG 2024-11-19 11:02:14,738 autoreload File E:\BackendResearch\.venv\Lib\site-packages\django\db\models\functions\mixins.py first seen with mtime 1731656709.3171468
DEBUG 2024-11-19 11:02:14,739 autoreload File C:\Program Files\Python312\Lib\html\parser.py first seen with mtime 1722957450.0
DEBUG 2024-11-19 11:02:14,739 autoreload File E:\BackendResearch\.venv\Lib\site-packages\django\http\multipartparser.py first seen with mtime 1731656709.58332
DEBUG 2024-11-19 11:02:14,739 autoreload File E:\BackendResearch\.venv\Lib\site-packages\rest_framework\utils\formatting.py first seen with mtime 1731656746.5670125
DEBUG 2024-11-19 11:02:14,739 autoreload File E:\BackendResearch\.venv\Lib\site-packages\django\db\migrations\operations\models.py first seen with mtime 1731656709.234677
DEBUG 2024-11-19 11:02:14,739 autoreload File E:\BackendResearch\.venv\Lib\site-packages\django\utils\choices.py first seen with mtime 1731656709.7171543
DEBUG 2024-11-19 11:02:14,739 autoreload File E:\BackendResearch\.venv\Lib\site-packages\rest_framework\reverse.py first seen with mtime 1731656745.997759
DEBUG 2024-11-19 11:02:14,739 autoreload File E:\BackendResearch\Backend\Backend\settings.py first seen with mtime 1731993419.390581
DEBUG 2024-11-19 11:02:14,739 autoreload File E:\BackendResearch\.venv\Lib\site-packages\django\apps\__init__.py first seen with mtime 1731656690.3433516
DEBUG 2024-11-19 11:02:14,740 autoreload File E:\BackendResearch\.venv\Lib\site-packages\django\contrib\admin\views\main.py first seen with mtime 1731656696.9361608
DEBUG 2024-11-19 11:02:14,740 autoreload File E:\BackendResearch\.venv\Lib\site-packages\django\db\models\__init__.py first seen with mtime 1731656709.234677
DEBUG 2024-11-19 11:02:14,740 autoreload File C:\Program Files\Python312\Lib\urllib\__init__.py first seen with mtime 1722957452.0
